"39";"ABS";"HEBL";"Abu Simbel Airport";;"9843";"Abu_Simbel_Airport";"Flughafen_Abu_Simbel";"22.3759995";"31.6117001";"616";"EG"
"40";"ABT";"OEBA";"Al Baha Airport";;"10991";"Al-Baha_Domestic_Airport";;"20.2961006";"41.6343002";"5486";"SA"
"41";"ABU";"WRKA";"Haliwen Airport";;"0";"Haliwen_Airport";;"-9.0730495";"124.9049988";"1027";"ID"
"42";"ABV";"DNAA";"Nnamdi Azikiwe International Airport";"Flughafen Abuja";"11842";"Nnamdi_Azikiwe_International_Airport";"Flughafen_Abuja";"9.0067902";"7.2631698";"1123";"NG"
"43";"ABX";"YMAY";"Albury Airport";;"6234";"Albury_Airport";"Flughafen_Albury";"-36.0677986";"146.9579926";"539";"AU"
"44";"ABY";"KABY";"Southwest Georgia Regional Airport";;"6601";"Southwest_Georgia_Regional_Airport";;"31.5354996";"-84.1945038";"197";"US"
"45";"ABZ";"EGPD";"Aberdeen Dyce Airport";;"6001";"Aberdeen_Airport";"Flughafen_Aberdeen_International";"57.2019005";"-2.1977799";"215";"GB"
"46";"ACA";"MMAA";"General Juan N Alvarez International Airport";;"10832";"Acapulco_International_Airport";"Flughafen_Acapulco";"16.7570992";"-99.7539978";"16";"MX"
"47";"ACB";"KACB";"Antrim County Airport";;"5000";"Antrim_County_Airport";;"44.9886017";"-85.1984024";"623";"US"
"48";"ACC";"DGAA";"Kotoka International Airport";"Flughafen Accra";"11165";"Kotoka_International_Airport";"Flughafen_Accra";"5.6051898";"-0.1667860";"205";"GH"
"49";"ACD";"SKAD";"Alcides Fernández Airport";;"0";"Alcides_Fern%C3%A1ndez_Airport";;"8.5166702";"-77.3000031";"50";"CO"
"50";"ACE";"GCRR";"Lanzarote Airport";"Flughafen Lanzarote";"7874";"Lanzarote_Airport";"Flughafen_Lanzarote";"28.9454994";"-13.6051998";"46";"ES"
"51";"ACF";"YBAF";"Brisbane Archerfield Airport";;"4859";"Archerfield_Airport";"Archerfield_Airport";"-27.5702991";"153.0079956";"63";"AU"
"52";"ACH";"LSZR";"St Gallen Altenrhein Airport";"Flughafen St. Gallen-Altenrhein";"4922";"St._Gallen%E2%80%93Altenrhein_Airport";;"47.4850006";"9.5607700";"1306";"CH"
"53";"ACI";"EGJA";"Alderney Airport";;"2887";"Alderney_Airport";"Flughafen_Alderney";"49.7061005";"-2.2147200";"290";"GG"
"54";"ACK";"KACK";"Nantucket Memorial Airport";"Flughafen Nantucket";"6303";"Nantucket_Memorial_Airport";"Nantucket_Memorial_Airport";"41.2531013";"-70.0602036";"47";"US"
"55";"ACN";"MMCC";"Ciudad Acuña New International Airport";;"5910";"Ciudad_Acu%C3%B1a_International_Airport";;"29.3328991";"-101.0989990";"1410";"MX"
"56";"ACP";"OITM";"Sahand Airport";;"9614";"Sahand_Airport";;"37.3479996";"46.1278992";"4396";"IR"
"57";"ACR";"SKAC";"Araracuara Airport";;"0";"Araracuara_Airport";;"-0.5833000";"-72.4083023";"1250";"CO"
"58";"ACS";"UNKS";"Achinsk Airport";;"0";"Achinsk_Airport";;"56.2682991";"90.5708008";"1033";"RU"
"59";"ACT";"KACT";"Waco Regional Airport";;"6596";"Waco_Regional_Airport";;"31.6112995";"-97.2304993";"516";"US"
"60";"ACV";"KACV";"Arcata Airport";;"6000";"Arcata-Eureka_Airport";"Arcata-Eureka_Airport";"40.9780998";"-124.1090012";"221";"US"
"61";"ACY";"KACY";"Atlantic City International Airport";;"10000";"Atlantic_City_International_Airport";"Atlantic_City_International_Airport";"39.4575996";"-74.5772018";"75";"US"
"62";"ACZ";"OIZB";"Zabol Airport";;"9848";"Zabol_Airport";;"31.0983009";"61.5438995";"1628";"IR"
"63";"ADA";"LTAF";"Adana Airport";;"9022";"Adana_%C5%9Eakirpa%C5%9Fa_Airport";;"36.9822006";"35.2803993";"65";"TR"
"64";"ADB";"LTBJ";"Adnan Menderes International Airport";"Flughafen Izmir";"10630";"Adnan_Menderes_Airport";"Flughafen_Izmir";"38.2924004";"27.1569996";"412";"TR"
"65";"ADD";"HAAB";"Bole International Airport";"Flughafen Addis Abeba";"12467";"Addis_Ababa_Bole_International_Airport";"Flughafen_Addis_Abeba";"8.9778900";"38.7993011";"7630";"ET"
"66";"ADE";"OYAA";"Aden International Airport";;"10171";"Aden_International_Airport";"Flughafen_Aden";"12.8295002";"45.0288010";"7";"YE"
"67";"ADF";"LTCP";"Adıyaman Airport";;"8212";"Ad%C4%B1yaman_Airport";;"37.7313995";"38.4688988";"2216";"TR"
"68";"ADG";"KADG";"Lenawee County Airport";;"5001";"Lenawee_County_Airport";;"41.8676987";"-84.0773010";"798";"US"
"69";"ADH";"UEEA";"Aldan Airport";;"0";"Aldan_Airport";;"58.6027985";"125.4089966";"2241";"RU"
"70";"ADI";"FYAR";"Arandis Airport";;"6300";"Arandis_Airport";;"-22.4622002";"14.9799995";"1905";"NA"
"71";"ADJ";"OJAM";"Amman-Marka International Airport";"Flughafen Marka International";"10745";"Amman_Civil_Airport";"Flughafen_Marka_International";"31.9727001";"35.9916000";"2555";"JO"
"72";"ADK";"PADK";"Adak Airport";;"7790";"Adak_Airport";"Adak_Airport";"51.8779984";"-176.6459961";"18";"US"
"73";"ADL";"YPAD";"Adelaide International Airport";"Flughafen Adelaide";"10171";"Adelaide_Airport";"Flughafen_Adelaide";"-34.9449997";"138.5310059";"20";"AU"
"74";"ADM";"KADM";"Ardmore Municipal Airport";;"7225";"Ardmore_Municipal_Airport";;"34.3030090";"-97.0196304";"777";"US"
"75";"ADN";"SKAN";"Andes Airport";;"0";;;"5.6666698";"-75.8833008";"3900";"CO"
"76";"ADO";"YAMK";"Andamooka Airport";;"3280";"Andamooka_Airport";;"-30.4382992";"137.1369934";"76";"AU"
"77";"ADQ";"PADQ";"Kodiak Airport";;"7542";"Kodiak_Airport";"Kodiak_Airport";"57.7500000";"-152.4940033";"78";"US"
"78";"ADR";"KPHH";"Robert F Swinnie Airport";;"3001";"Robert_F._Swinnie_Airport";;"33.4516983";"-79.5261993";"26";"US"
"79";"ADS";"KADS";"Addison Airport";;"7202";"Addison_Airport";;"32.9686012";"-96.8364029";"644";"US"
"80";"ADT";"KADH";"Ada Municipal Airport";;"6203";"Ada_Municipal_Airport";;"34.8042984";"-96.6713028";"1016";"US"
"81";"ADU";"OITL";"Ardabil Airport";;"10823";"Ardabil_Airport";;"38.3256989";"48.4244003";"4315";"IR"
"82";"ADX";"EGQL";"RAF Leuchars";;"8491";"RAF_Leuchars";;"56.3728981";"-2.8684399";"38";"GB"
"83";"ADY";"FAAL";"Alldays Airport";;"4757";"Alldays_Airport";;"-22.6790009";"29.0555000";"2600";"ZA"
"84";"ADZ";"SKSP";"Gustavo Rojas Pinilla International Airport";;"7808";"Gustavo_Rojas_Pinilla_International_Airport";;"12.5836000";"-81.7111969";"19";"CO"
"85";"AEA";"NGTB";"Abemama Atoll Airport";;"0";"Abemama_Atoll_Airport";;"0.4908330";"173.8289948";"8";"KI"
"86";"AEG";"WIME";"Aek Godang Airport";;"4580";"Aek_Godang_Airport";;"1.4001000";"99.4304962";"922";"ID"
"87";"AEH";"FTTC";"Abeche Airport";;"9186";"Ab%C3%A9ch%C3%A9_Airport";;"13.8470001";"20.8442993";"1788";"TD"
"88";"AEK";"AEK";"Aseki Airport";;"0";;;"-7.3508048";"146.1938629";"4106";"PG"
"89";"AEL";"KAEL";"Albert Lea Municipal Airport";;"4501";"Albert_Lea_Municipal_Airport";;"43.6814995";"-93.3672028";"1260";"US"
"90";"AEO";"GQNA";"Aioun el Atrouss Airport";;"5245";"Aioun_el_Atrouss_Airport";;"16.7112999";"-9.6378803";"951";"MR"
"91";"AEP";"SABE";"Jorge Newbery Airpark";;"6890";"Aeroparque_Jorge_Newbery";"Flughafen_Buenos_Aires-Jorge_Newbery";"-34.5592003";"-58.4155998";"18";"AR"
"92";"AER";"URSS";"Sochi International Airport";;"9482";"Sochi_International_Airport";"Flughafen_Sotschi";"43.4499016";"39.9566002";"89";"RU"
"93";"AES";"ENAL";"Ålesund Airport";;"7592";"%C3%85lesund_Airport%2C_Vigra";;"62.5625000";"6.1197000";"69";"NO"
"94";"AET";"PFAL";"Allakaket Airport";;"4000";"Allakaket_Airport";"Flughafen_Allakaket";"66.5518036";"-152.6219940";"441";"US"
"95";"AEU";"OIBA";"Abumusa Island Airport";;"9796";"Abu_Musa_Airport";;"25.8757000";"55.0330009";"23";"IR"
"96";"AEX";"KAEX";"Alexandria International Airport";;"9352";"Alexandria_International_Airport_%28Louisiana%29";;"31.3274002";"-92.5497971";"89";"US"
"97";"AEY";"BIAR";"Akureyri Airport";;"6365";"Akureyri_Airport";"Flughafen_Akureyri";"65.6600037";"-18.0727005";"6";"IS"
"98";"AFA";"SAMR";"Suboficial Ay Santiago Germano Airport";;"6923";"San_Rafael_Airport_%28Argentina%29";;"-34.5882988";"-68.4039001";"2470";"AR"
"99";"AFD";"FAPA";"Port Alfred Airport";;"0";"Port_Alfred_Airport";;"-33.5541992";"26.8777008";"307";"ZA"
"100";"AFE";"PAFE";"Kake Airport";;"4000";"Kake_Airport";;"56.9613991";"-133.9100037";"172";"US"
"101";"AFI";"SKAM";"Amalfi Airport";;"0";;;"6.9166698";"-75.0667038";"5507";"CO"
"102";"AFL";"SBAT";"Alta Floresta Airport";;"8202";"Alta_Floresta_Airport";;"-9.8663893";"-56.1049995";"948";"BR"
"103";"AFN";"KAFN";"Jaffrey Airport Silver Ranch Airport";;"2982";"Jaffrey_Airport_%E2%80%93_Silver_Ranch_Airpark";;"42.8050995";"-72.0029984";"1040";"US"
"104";"AFO";"KAFO";"Afton Municipal Airport";;"7023";"Afton_Municipal_Airport";;"42.7112007";"-110.9420013";"6221";"US"
"105";"AFS";"UTSN";"Sugraly Airport";;"6098";"Zarafshan_Airport";;"41.6138992";"64.2332001";"1396";"UZ"
"106";"AFW";"KAFW";"Fort Worth Alliance Airport";;"9600";"Fort_Worth_Alliance_Airport";;"32.9875984";"-97.3188019";"722";"US"
"107";"AFY";"LTAH";"Afyon Airport";;"12008";"Afyon_Airport";"Flughafen_Afyon";"38.7263985";"30.6011009";"3310";"TR"
"108";"AFZ";"OIMS";"Sabzevar National Airport";;"10428";"Sabzevar_Airport";;"36.1680984";"57.5951996";"3010";"IR"
"109";"AGA";"GMAD";"Al Massira Airport";;"10499";"Agadir%E2%80%93Al_Massira_Airport";;"30.3250008";"-9.4130697";"250";"MA"
"110";"AGB";"EDMA";"Augsburg Airport";"Flughafen Augsburg";"4199";"Augsburg_Airport";;"48.4252777";"10.9316673";"1516";"DE"
"111";"AGC";"KAGC";"Allegheny County Airport";;"6501";"Allegheny_County_Airport";;"40.3544006";"-79.9301987";"1252";"US"
"112";"AGE";"EDWG";"Wangerooge Airport";;"2789";"Wangerooge_Airport";;"53.7827797";"7.9138889";"7";"DE"
"113";"AGF";"LFBA";"Agen-La Garenne Airport";"Flughafen Agen-La Garenne";"7103";"Agen_La_Garenne_Airport";"Flughafen_Agen";"44.1747017";"0.5905560";"204";"FR"
"114";"AGH";"ESTA";"Ängelholm-Helsingborg Airport";;"6552";"%C3%84ngelholm%E2%80%93Helsingborg_Airport";;"56.2961006";"12.8471003";"68";"SE"
"115";"AGI";"SMWA";"Wageningen Airport Airport";;"0";"Wageningen_Airstrip";;"5.7666669";"-56.6333313";"6";"SR"
"116";"AGJ";"RORA";"Aguni Airport";;"2625";"Aguni_Airport";;"26.5925007";"127.2409973";"38";"JP"
"117";"AGN";"PAGN";"Angoon Seaplane Base";;"10000";"Angoon_Seaplane_Base";;"57.5036011";"-134.5850067";"0";"US"
"118";"AGO";"KAGO";"Magnolia Municipal Airport";;"4610";"Magnolia_Municipal_Airport";;"33.2280006";"-93.2170029";"319";"US"
"119";"AGP";"LEMG";"Málaga Airport";"Flughafen Málaga";"10500";"M%C3%A1laga_Airport";;"36.6749001";"-4.4991102";"53";"ES"
"120";"AGQ";"LGAG";"Agrinion Airport";;"9875";"Agrinion_Airport";;"38.6020012";"21.3512001";"154";"GR"
"121";"AGR";"VIAG";"Agra Airport";"Flughafen Agra";"9000";"Agra_Airport";;"27.1557999";"77.9608994";"551";"IN"
"122";"AGS";"KAGS";"Augusta Regional At Bush Field";;"8001";"Augusta_Regional_Airport";;"33.3698997";"-81.9645004";"144";"US"
"123";"AGT";"SGES";"Guarani International Airport";;"11154";"Guaran%C3%AD_International_Airport";;"-25.4599991";"-54.8400002";"846";"PY"
"124";"AGU";"MMAS";"Jesus Teran International Airport";;"9843";"Lic._Jes%C3%BAs_Ter%C3%A1n_Peredo_International_Airport";;"21.7056007";"-102.3180008";"6112";"MX"
"125";"AGV";"SVAC";"Oswaldo Guevara Mujica Airport";;"5990";"Oswaldo_Guevara_Mujica_Airport";;"9.5533752";"-69.2378693";"640";"VE"
"126";"AGW";"AU-A";"Agnew Airport";;"0";"Agnew_Airport";;"-12.1456003";"142.1490021";"0";"AU"
"127";"AGX";"VOAT";"Agatti Airport";;"4235";"Agatti_Aerodrome";;"10.8237000";"72.1760025";"14";"IN"
"128";"AGZ";"FAAG";"Aggeneys Airport";;"6824";"Aggeneys_Airport";;"-29.2817993";"18.8139000";"2648";"ZA"
"129";"AHB";"OEAB";"Abha Regional Airport";;"10991";"Abha_Regional_Airport";;"18.2404003";"42.6566010";"6858";"SA"
"130";"AHC";"KAHC";"Amedee Army Air Field";;"7167";"Amedee_Army_Airfield";;"40.2662010";"-120.1529999";"4012";"US"
"131";"AHD";"K1F0";"Ardmore Downtown Executive Airport";;"5000";"Ardmore_Downtown_Executive_Airport";;"34.1469994";"-97.1227036";"844";"US"
"132";"AHE";"NTHE";"Ahe Airport";;"4068";"Ahe_Airport";;"-14.4280996";"-146.2570038";"11";"PF"
"133";"AHF";"K37V";"Arapahoe Municipal Airport";;"3000";"Arapahoe_Municipal_Airport";;"40.3395004";"-99.9065018";"2270";"US"
"134";"AHH";"KAHH";"Amery Municipal Airport";;"4001";"Amery_Municipal_Airport";;"45.2811012";"-92.3753967";"1088";"US"
"135";"AHI";"WAPA";"Amahai Airport";;"0";"Amahai_Airport";;"-3.3480000";"128.9259949";"29";"ID"
